year,P,LP,VUS,LB,B,total_unique_variants
2003,7,0,0,0,0,7
2004,15,0,0,0,0,15
2005,16,0,0,0,0,16
2006,16,0,0,0,0,16
2007,16,0,0,0,0,16
2008,16,0,0,0,0,16
2009,17,0,0,0,0,17
2010,23,0,3,0,0,26
2011,36,1,4,0,0,41
2012,44,2,5,0,6,57
2013,49,3,8,0,9,69
2014,58,3,10,0,14,85
2015,63,3,13,3,16,98
2016,66,3,19,12,22,122
2017,73,3,29,24,27,156
2018,98,12,205,84,171,570
2019,106,20,215,140,238,719
2020,114,21,238,166,251,790
2021,155,48,303,248,276,1030
2022,177,65,505,375,283,1405
2023,185,77,701,474,291,1728
2024,206,143,1114,634,304,2401
2025,224,161,1344,891,360,2980
2026,231,162,1368,907,385,3053
